100_1_Total_Total	100_1_Total_Update
0.028	0.024
0.033	0.029
0.022	0.019
0.019	0.016
0.018	0.016
100_4_Total_Total	100_4_Total_Update
0.014	0.009
0.015	0.009
0.013	0.009
0.014	0.009
0.025	0.010
100_12_Total_Total	100_12_Total_Update
0.010	0.004
0.009	0.004
0.007	0.004
0.007	0.004
0.007	0.004
100_36_Total_Total	100_36_Total_Update
0.008	0.003
0.007	0.003
0.006	0.003
0.008	0.003
0.009	0.003
100_72_Total_Total	100_72_Total_Update
0.023	0.006
0.012	0.006
0.013	0.006
0.011	0.005
0.012	0.006
600_1_Total_Total	600_1_Total_Update
1.165	1.048
1.152	1.040
1.152	1.040
1.153	1.040
1.146	1.041
600_4_Total_Total	600_4_Total_Update
0.371	0.294
0.366	0.298
0.376	0.303
0.368	0.300
0.365	0.297
600_12_Total_Total	600_12_Total_Update
0.197	0.124
0.193	0.126
0.192	0.125
0.187	0.121
0.192	0.125
600_36_Total_Total	600_36_Total_Update
0.126	0.058
0.126	0.058
0.125	0.057
0.126	0.058
0.134	0.059
600_72_Total_Total	600_72_Total_Update
0.326	0.047
0.319	0.048
0.193	0.048
0.321	0.048
0.193	0.049
1600_1_Total_Total	1600_1_Total_Update
9.688	9.175
9.700	9.192
9.706	9.177
9.780	9.182
9.713	9.176
1600_4_Total_Total	1600_4_Total_Update
2.948	2.333
2.927	2.333
2.925	2.331
2.925	2.333
2.863	2.333
1600_12_Total_Total	1600_12_Total_Update
1.412	0.815
1.412	0.814
1.411	0.814
1.412	0.816
1.412	0.815
1600_36_Total_Total	1600_36_Total_Update
0.856	0.316
0.866	0.317
0.858	0.317
0.866	0.316
0.857	0.316
1600_72_Total_Total	1600_72_Total_Update
0.943	0.200
0.939	0.200
0.944	0.199
0.994	0.248
0.944	0.199
3100_1_Total_Total	3100_1_Total_Update
44.024	41.994
44.038	42.001
44.048	41.993
44.042	41.990
44.072	42.011
3100_4_Total_Total	3100_4_Total_Update
12.832	10.683
12.851	10.706
12.839	10.684
12.817	10.678
12.808	10.682
3100_12_Total_Total	3100_12_Total_Update
5.902	3.734
5.965	3.736
5.899	3.735
5.976	3.734
5.929	3.747
3100_36_Total_Total	3100_36_Total_Update
3.658	1.391
3.633	1.389
3.587	1.390
3.642	1.390
3.642	1.390
3100_72_Total_Total	3100_72_Total_Update
3.097	0.833
3.019	0.839
3.080	0.832
3.110	0.838
3.099	0.833
