100_1_Step_Total	100_1_Step_Update
0.00048	0.00041
0.00056	0.00050
0.00039	0.00034
0.00032	0.00027
0.00032	0.00027

100_4_Step_Total	100_4_Step_Update
0.00023	0.00016
0.00025	0.00016
0.00023	0.00016
0.00025	0.00016
0.00043	0.00016

100_12_Step_Total	100_12_Step_Update
0.00017	0.00008
0.00015	0.00008
0.00013	0.00007
0.00012	0.00007
0.00013	0.00007

100_36_Step_Total	100_36_Step_Update
0.00014	0.00006
0.00012	0.00005
0.00011	0.00005
0.00013	0.00006
0.00015	0.00006

100_72_Step_Total	100_72_Step_Update
0.00040	0.00011
0.00020	0.00010
0.00023	0.00010
0.00018	0.00009
0.00021	0.00010

600_1_Step_Total	600_1_Step_Update
0.01059	0.00953
0.01047	0.00945
0.01048	0.00946
0.01048	0.00946
0.01042	0.00946

600_4_Step_Total	600_4_Step_Update
0.00337	0.00268
0.00333	0.00271
0.00342	0.00275
0.00334	0.00272
0.00332	0.00270

600_12_Step_Total	600_12_Step_Update
0.00179	0.00113
0.00175	0.00115
0.00175	0.00114
0.00170	0.00110
0.00174	0.00114

600_36_Step_Total	600_36_Step_Update
0.00115	0.00053
0.00115	0.00053
0.00114	0.00052
0.00115	0.00052
0.00121	0.00053

600_72_Step_Total	600_72_Step_Update
0.00297	0.00043
0.00290	0.00044
0.00175	0.00044
0.00292	0.00044
0.00176	0.00045

1600_1_Step_Total	1600_1_Step_Update
0.07071	0.06697
0.07081	0.06709
0.07085	0.06698
0.07139	0.06702
0.07090	0.06698

1600_4_Step_Total	1600_4_Step_Update
0.02152	0.01703
0.02137	0.01703
0.02135	0.01701
0.02135	0.01703
0.02089	0.01703

1600_12_Step_Total	1600_12_Step_Update
0.01030	0.00595
0.01031	0.00594
0.01030	0.00594
0.01031	0.00595
0.01031	0.00595

1600_36_Step_Total	1600_36_Step_Update
0.00625	0.00231
0.00632	0.00232
0.00626	0.00231
0.00632	0.00231
0.00626	0.00231

1600_72_Step_Total	1600_72_Step_Update
0.00688	0.00146
0.00686	0.00146
0.00689	0.00146
0.00726	0.00181
0.00689	0.00146

3100_1_Step_Total	3100_1_Step_Update
0.26681	0.25451
0.26690	0.25455
0.26696	0.25450
0.26692	0.25448
0.26710	0.25461

3100_4_Step_Total	3100_4_Step_Update
0.07777	0.06475
0.07788	0.06489
0.07781	0.06475
0.07768	0.06471
0.07762	0.06474

3100_12_Step_Total	3100_12_Step_Update
0.03577	0.02263
0.03615	0.02264
0.03575	0.02263
0.03622	0.02263
0.03593	0.02271

3100_36_Step_Total	3100_36_Step_Update
0.02217	0.00843
0.02202	0.00842
0.02174	0.00843
0.02207	0.00842
0.02207	0.00842

3100_72_Step_Total	3100_72_Step_Update
0.01877	0.00505
0.01830	0.00508
0.01867	0.00504
0.01885	0.00508
0.01878	0.00505

