100_1_Step_Total	100_1_Step_Update
0.00039	0.00039

100_4_Step_Total	100_4_Step_Update
0.00016	0.00015

100_8_Step_Total	100_8_Step_Update
0.00009	0.00009

100_16_Step_Total	100_16_Step_Update
0.00006	0.00005

100_32_Step_Total	100_32_Step_Update
0.00005	0.00005

400_1_Step_Total	400_1_Step_Update
0.00427	0.00420

400_4_Step_Total	400_4_Step_Update
0.00146	0.00139

400_8_Step_Total	400_8_Step_Update
0.00095	0.00089

400_16_Step_Total	400_16_Step_Update
0.00058	0.00052

400_32_Step_Total	400_32_Step_Update
0.00037	0.00032

800_1_Step_Total	800_1_Step_Update
0.01701	0.01674

800_4_Step_Total	800_4_Step_Update
0.00495	0.00453

800_8_Step_Total	800_8_Step_Update
0.00267	0.00245

800_16_Step_Total	800_16_Step_Update
0.00164	0.00142

800_32_Step_Total	800_32_Step_Update
0.00115	0.00093

1600_1_Step_Total	1600_1_Step_Update
0.06792	0.06683

1600_4_Step_Total	1600_4_Step_Update
0.01806	0.01704

1600_8_Step_Total	1600_8_Step_Update
0.00997	0.00878

1600_16_Step_Total	1600_16_Step_Update
0.00561	0.00468

1600_32_Step_Total	1600_32_Step_Update
0.00355	0.00270

3200_1_Step_Total	3200_1_Step_Update
0.27569	0.27128

3200_4_Step_Total	3200_4_Step_Update
0.07425	0.06974

3200_8_Step_Total	3200_8_Step_Update
0.04022	0.03626

3200_16_Step_Total	3200_16_Step_Update
0.02344	0.01974

3200_32_Step_Total	3200_32_Step_Update
0.01463	0.01105

6400_72_Step_Total	6400_72_Step_Update
0.04088	0.02729

